,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
28,0.820082815735,0.108999967575,prostate,2,0.828571428571,0.820082815735,adaboost,0.811594202899,0.00848861283644,5
29,0.819979296066,0.18799996376,prostate,2,0.842857142857,0.819979296066,adaboost,0.797101449275,0.0228778467909,10
30,0.76966873706,0.383000135422,prostate,2,0.785714285714,0.76966873706,adaboost,0.753623188406,0.0160455486542,20
31,0.740518038853,0.0789999961853,prostate,3,0.808510638298,0.740518038853,adaboost,0.630434782609,0.0785555859979,2
32,0.812981806969,0.168999910355,prostate,3,0.826086956522,0.812981806969,adaboost,0.804347826087,0.00942128653559,5
33,0.81991982732,0.328000068665,prostate,3,0.851063829787,0.81991982732,adaboost,0.782608695652,0.0282848776946,10
34,0.798643231576,0.662999868393,prostate,3,0.804347826087,0.798643231576,adaboost,0.787234042553,0.00806751492566,20
35,0.702937420179,0.131999969482,prostate,5,0.827586206897,0.702937420179,adaboost,0.555555555556,0.111714572117,2
36,0.775478927203,0.315999984741,prostate,5,0.851851851852,0.775478927203,adaboost,0.62962962963,0.0821485483924,5
37,0.792848020434,0.591000080109,prostate,5,0.888888888889,0.792848020434,adaboost,0.724137931034,0.0652886754194,10
38,0.762196679438,1.21999979019,prostate,5,0.814814814815,0.762196679438,adaboost,0.62962962963,0.0693965058182,20
39,0.58064516129,0.077999830246,colon,2,0.709677419355,0.58064516129,bagging,0.451612903226,0.129032258065,2
40,0.677419354839,0.167999982834,colon,2,0.709677419355,0.677419354839,bagging,0.645161290323,0.0322580645161,5
41,0.548387096774,0.334000110626,colon,2,0.677419354839,0.548387096774,bagging,0.41935483871,0.129032258065,10
42,0.532258064516,0.661999940872,colon,2,0.677419354839,0.532258064516,bagging,0.387096774194,0.145161290323,20
43,0.695454545455,0.15700006485,colon,3,0.8,0.695454545455,bagging,0.636363636364,0.0741341201377,2
44,0.643939393939,0.351999998093,colon,3,0.75,0.643939393939,bagging,0.5,0.105518093009,5
45,0.675757575758,0.709000110626,colon,3,0.95,0.675757575758,bagging,0.35,0.247642697082,10
46,0.771212121212,1.46499991417,colon,3,0.9,0.771212121212,bagging,0.55,0.157123476796,20
47,0.817948717949,0.319999933243,colon,5,1.0,0.817948717949,bagging,0.5,0.178688700105,2
48,0.625641025641,0.713999986649,colon,5,0.769230769231,0.625641025641,bagging,0.333333333333,0.159850768671,5
49,0.687179487179,1.40000009537,colon,5,1.0,0.687179487179,bagging,0.333333333333,0.221145484792,10
50,0.787179487179,2.80799984932,colon,5,0.923076923077,0.787179487179,bagging,0.5,0.156567806317,20
51,0.532258064516,0.0620000362396,colon,2,0.677419354839,0.532258064516,dtree,0.387096774194,0.0,1
52,0.760606060606,0.107000112534,colon,3,0.9,0.760606060606,dtree,0.681818181818,0.0,1
53,0.789743589744,0.213999986649,colon,5,0.923076923077,0.789743589744,dtree,0.666666666667,0.0,1
54,0.58064516129,0.0620000362396,colon,2,0.612903225806,0.58064516129,randomforest,0.548387096774,0.0322580645161,2
55,0.661290322581,0.118000030518,colon,2,0.677419354839,0.661290322581,randomforest,0.645161290323,0.0161290322581,5
56,0.709677419355,0.171999931335,colon,2,0.870967741935,0.709677419355,randomforest,0.548387096774,0.161290322581,10
57,0.677419354839,0.296999931335,colon,2,0.709677419355,0.677419354839,randomforest,0.645161290323,0.0322580645161,20
58,0.675757575758,0.0800001621246,colon,3,0.727272727273,0.675757575758,randomforest,0.6,0.0547135457129,2
59,0.678787878788,0.118999958038,colon,3,0.85,0.678787878788,randomforest,0.55,0.126094838009,5
60,0.724242424242,0.25,colon,3,0.8,0.724242424242,randomforest,0.6,0.0885553890679,10
61,0.836363636364,0.457000017166,colon,3,1.0,0.836363636364,randomforest,0.6,0.171205416871,20
62,0.69358974359,0.138999938965,colon,5,0.846153846154,0.69358974359,randomforest,0.538461538462,0.101953309498,2
63,0.787179487179,0.233000040054,colon,5,0.923076923077,0.787179487179,randomforest,0.416666666667,0.188744772341,5
64,0.819230769231,0.426000118256,colon,5,1.0,0.819230769231,randomforest,0.583333333333,0.143761344348,10
65,0.834615384615,0.797999858856,colon,5,1.0,0.834615384615,randomforest,0.5,0.175430343416,20
66,0.532258064516,0.0629999637604,colon,2,0.677419354839,0.532258064516,adaboost,0.387096774194,0.145161290323,2
