,Accuracy,cancertype,method
146,0.7857142857142857,prostate,BaggingClassifier
147,0.6923076923076923,prostate,BaggingClassifier
148,0.6923076923076923,prostate,BaggingClassifier
149,0.8461538461538461,prostate,BaggingClassifier
150,0.8,prostate,ExtraTreesClassifier
151,0.8666666666666667,prostate,ExtraTreesClassifier
152,0.7142857142857143,prostate,ExtraTreesClassifier
153,0.8571428571428571,prostate,ExtraTreesClassifier
154,0.9285714285714286,prostate,ExtraTreesClassifier
155,0.8571428571428571,prostate,ExtraTreesClassifier
156,0.7142857142857143,prostate,ExtraTreesClassifier
157,0.6923076923076923,prostate,ExtraTreesClassifier
158,0.8461538461538461,prostate,ExtraTreesClassifier
159,0.9230769230769232,prostate,ExtraTreesClassifier
160,0.8571428571428571,colon,RandomForestClassifier
161,1.0,colon,RandomForestClassifier
162,0.8333333333333334,colon,RandomForestClassifier
163,1.0,colon,RandomForestClassifier
164,1.0,colon,RandomForestClassifier
165,0.8333333333333334,colon,RandomForestClassifier
166,1.0,colon,RandomForestClassifier
167,0.5,colon,RandomForestClassifier
168,0.8333333333333334,colon,RandomForestClassifier
169,0.5,colon,RandomForestClassifier
170,1.0,colon,AdaBoostClassifier
171,0.7142857142857143,colon,AdaBoostClassifier
172,0.8333333333333334,colon,AdaBoostClassifier
173,1.0,colon,AdaBoostClassifier
174,1.0,colon,AdaBoostClassifier
175,1.0,colon,AdaBoostClassifier
176,1.0,colon,AdaBoostClassifier
177,0.6666666666666666,colon,AdaBoostClassifier
178,1.0,colon,AdaBoostClassifier
179,0.6666666666666666,colon,AdaBoostClassifier
180,1.0,colon,BaggingClassifier
181,1.0,colon,BaggingClassifier
182,0.8333333333333334,colon,BaggingClassifier
183,0.8333333333333334,colon,BaggingClassifier
184,1.0,colon,BaggingClassifier
185,0.8333333333333334,colon,BaggingClassifier
186,0.8333333333333334,colon,BaggingClassifier
187,0.5,colon,BaggingClassifier
188,0.8333333333333334,colon,BaggingClassifier
189,0.5,colon,BaggingClassifier
190,1.0,colon,ExtraTreesClassifier
191,1.0,colon,ExtraTreesClassifier
192,0.8333333333333334,colon,ExtraTreesClassifier
193,1.0,colon,ExtraTreesClassifier
194,1.0,colon,ExtraTreesClassifier
195,0.8333333333333334,colon,ExtraTreesClassifier
196,1.0,colon,ExtraTreesClassifier
197,0.8333333333333334,colon,ExtraTreesClassifier
198,1.0,colon,ExtraTreesClassifier
199,0.8333333333333334,colon,ExtraTreesClassifier
