,aveaccuracy,cancertype,computationtime,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,kfolds,kstrat,lenfolds,maxsinglefold,median,method,minsinglefold,ntrees,std,timestamp
0,0.9,leuk,1.2547606989974156,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5714285714285714,10,False,10,1.0,1.0,RandomForestClassifier,0.5714285714285714,100,0.14356965173029845,2016-07-30 16:39:05.657247
1,0.9571428571428571,leuk,0.9187917970120907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,10,False,10,1.0,1.0,ExtraTreesClassifier,0.7142857142857143,100,0.09147320339189784,2016-07-30 16:39:06.576138
2,0.8833333333333332,bladder,1.4762540060037281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.25,0.6666666666666666,10,False,10,1.0,1.0,RandomForestClassifier,0.25,100,0.23333333333333334,2016-07-30 16:39:08.392880
3,0.9333333333333332,bladder,0.9122255909896921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.75,0.6666666666666666,10,False,10,1.0,1.0,ExtraTreesClassifier,0.6666666666666666,100,0.11666666666666667,2016-07-30 16:39:09.305254
4,0.9722222222222221,liver,2.3450351820210926,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,1.0,0.9444444444444444,1.0,10,False,10,1.0,1.0,RandomForestClassifier,0.8888888888888888,100,0.04479032082388085,2016-07-30 16:39:12.015421
5,0.9666666666666666,liver,1.271265076007694,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,1.0,1.0,1.0,0.9444444444444444,1.0,10,False,10,1.0,1.0,ExtraTreesClassifier,0.8333333333333334,100,0.05665577237325316,2016-07-30 16:39:13.286831
6,0.8423076923076923,prostate,1.0414808110217564,0.8571428571428571,0.6428571428571429,0.9285714285714286,0.9285714285714286,1.0,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.6428571428571429,0.9230769230769231,10,False,10,1.0,0.8571428571428571,RandomForestClassifier,0.6428571428571429,100,0.1138848103576135,2016-07-30 16:39:14.345021
7,0.8714285714285716,prostate,0.7481471849896479,1.0,0.7857142857142857,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,10,False,10,1.0,0.8571428571428571,ExtraTreesClassifier,0.7142857142857143,100,0.08921425711997713,2016-07-30 16:39:15.093260
8,0.819047619047619,colon,0.9266976969956886,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,10,False,10,1.0,0.8452380952380952,RandomForestClassifier,0.16666666666666666,100,0.24121762175074174,2016-07-30 16:39:16.092369
9,0.8357142857142857,colon,0.7411432889930438,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,10,False,10,1.0,0.8452380952380952,ExtraTreesClassifier,0.5,100,0.16681965767241294,2016-07-30 16:39:16.833603
