,aveaccuracy,cancertype,computationtime,kfolds,kstrat,lenfolds,maxsinglefold,median,method,minsinglefold,ntrees,std,timestamp
0,0.8285714285714286,leuk,0.8243481290119234,10,False,10,1.0,1.0,RandomForestClassifierLog2,0.2857142857142857,100,0.2695423180587601,2016-07-29 21:22:22.367708
1,0.9142857142857144,leuk,1.221540255995933,10,False,10,1.0,0.9285714285714286,RandomForestClassifierSqrt,0.7142857142857143,100,0.09476070829586858,2016-07-29 21:22:23.589397
2,0.8833333333333332,bladder,0.9204779650026467,10,False,10,1.0,1.0,RandomForestClassifierLog2,0.4166666666666667,100,0.2147349787787521,2016-07-29 21:22:24.811592
3,0.9249999999999998,bladder,1.4848769179952797,10,False,10,1.0,1.0,RandomForestClassifierSqrt,0.6666666666666666,100,0.1314977819838292,2016-07-29 21:22:26.296553
4,0.961111111111111,liver,1.0879585609945934,10,False,10,1.0,1.0,RandomForestClassifierLog2,0.8333333333333334,100,0.0558326423395605,2016-07-29 21:22:27.762917
5,0.961111111111111,liver,2.210617208998883,10,False,10,1.0,0.9722222222222222,RandomForestClassifierSqrt,0.8888888888888888,100,0.04339027597725921,2016-07-29 21:22:29.973621
6,0.8351648351648352,prostate,0.8473285069921985,10,False,10,1.0,0.8571428571428571,RandomForestClassifierLog2,0.6428571428571429,100,0.11496522420907261,2016-07-29 21:22:30.836177
7,0.8131868131868132,prostate,1.0055325430002995,10,False,10,0.9285714285714286,0.8516483516483516,RandomForestClassifierSqrt,0.6428571428571429,100,0.096459482851114,2016-07-29 21:22:31.841843
8,0.7357142857142857,colon,0.7440960149979219,10,False,10,1.0,0.8452380952380952,RandomForestClassifierLog2,0.0,100,0.327404761039024,2016-07-29 21:22:32.662749
9,0.8690476190476192,colon,0.9141570810170379,10,False,10,1.0,0.8452380952380952,RandomForestClassifierSqrt,0.5,100,0.1449255027955543,2016-07-29 21:22:33.577038
10,0.8714285714285713,leuk,0.7861561870086007,10,False,10,1.0,1.0,RandomForestClassifierHalfLogSqrt,0.42857142857142855,100,0.18571428571428572,2016-07-29 21:22:34.704947
11,0.8142857142857144,leuk,0.8137516860151663,10,False,10,1.0,1.0,RandomForestClassifierSqrt2n,0.2857142857142857,100,0.26380264732313413,2016-07-29 21:22:35.518830
12,0.8833333333333334,bladder,0.8595569110184442,10,False,10,1.0,1.0,RandomForestClassifierHalfLogSqrt,0.3333333333333333,100,0.22110831935702666,2016-07-29 21:22:36.683075
13,0.8916666666666668,bladder,0.9305691700137686,10,False,10,1.0,1.0,RandomForestClassifierSqrt2n,0.3333333333333333,100,0.22376202636829257,2016-07-29 21:22:37.613727
14,0.9666666666666666,liver,1.053529109020019,10,False,10,1.0,1.0,RandomForestClassifierHalfLogSqrt,0.8888888888888888,100,0.05091750772173158,2016-07-29 21:22:39.022740
15,0.9555555555555555,liver,1.2226763500075322,10,False,10,1.0,1.0,RandomForestClassifierSqrt2n,0.8333333333333334,100,0.05983516452371671,2016-07-29 21:22:40.245518
16,0.8203296703296703,prostate,0.8894005960028153,10,False,10,0.9285714285714286,0.8516483516483516,RandomForestClassifierHalfLogSqrt,0.6428571428571429,100,0.0856173726568631,2016-07-29 21:22:41.154856
17,0.8346153846153846,prostate,1.0100520700216293,10,False,10,0.9285714285714286,0.8571428571428571,RandomForestClassifierSqrt2n,0.6428571428571429,100,0.08460289618130944,2016-07-29 21:22:42.165040
18,0.7523809523809525,colon,0.7401081979915034,10,False,10,1.0,0.8452380952380952,RandomForestClassifierHalfLogSqrt,0.16666666666666666,100,0.2721377535662771,2016-07-29 21:22:42.986692
19,0.7690476190476191,colon,0.7530767489806749,10,False,10,1.0,0.8452380952380952,RandomForestClassifierSqrt2n,0.16666666666666666,100,0.2610483834529556,2016-07-29 21:22:43.739898
