,aveaccuracy,cancertype,computationtime,kfolds,kstrat,lenfolds,maxsinglefold,median,method,minsinglefold,ntrees,std,timestamp
0,0.7095238095238096,leuk,0.05917018500622362,10,False,10,0.875,0.7142857142857143,RandomForestClassifier,0.42857142857142855,1,0.14245479053699378,2016-07-29 19:30:32.709687
1,0.7916666666666667,leuk,0.4989453919988591,10,False,10,1.0,0.8571428571428571,AdaBoostClassifier,0.5714285714285714,1,0.12694071678634594,2016-07-29 19:30:33.208786
2,0.755952380952381,leuk,0.6872877709975,10,False,10,0.875,0.8035714285714286,DecisionTreeClassifier,0.5,1,0.12146358038747342,2016-07-29 19:30:33.896212
3,0.870970695970696,bladder,0.09778803199878894,10,False,10,1.0,0.8869047619047619,RandomForestClassifier,0.6666666666666666,1,0.11065928154928563,2016-07-29 19:30:34.321650
4,0.9140476190476191,bladder,0.6517432289838325,10,False,10,1.0,0.9166666666666666,AdaBoostClassifier,0.75,1,0.08274931407324072,2016-07-29 19:30:34.973524
5,0.8925457875457875,bladder,1.0697890669980552,10,False,10,1.0,0.9166666666666666,DecisionTreeClassifier,0.6666666666666666,1,0.10407492196160734,2016-07-29 19:30:36.043431
6,0.6784575074048759,liver,0.1389516080089379,10,False,10,0.8636363636363636,0.7057416267942584,RandomForestClassifier,0.5238095238095238,1,0.09793591726052053,2016-07-29 19:30:36.598400
7,0.8462861699703804,liver,0.8665935549943242,10,False,10,0.8947368421052632,0.8636363636363636,AdaBoostClassifier,0.7619047619047619,1,0.04899521578779539,2016-07-29 19:30:37.465083
8,0.8260195944406471,liver,2.4565119139733724,10,False,10,0.9545454545454546,0.8038277511961722,DecisionTreeClassifier,0.6190476190476191,1,0.10504884190251468,2016-07-29 19:30:39.921682
9,0.6531868131868132,prostate,0.017006728012347594,10,False,10,0.9285714285714286,0.6928571428571428,RandomForestClassifier,0.21428571428571427,1,0.2150834404745769,2016-07-29 19:30:39.955657
10,0.7911721611721612,prostate,0.03263732302002609,10,False,10,0.8571428571428571,0.823076923076923,AdaBoostClassifier,0.6666666666666666,1,0.0745581788293585,2016-07-29 19:30:39.988412
11,0.6531868131868132,prostate,0.09551055199699476,10,False,10,0.7333333333333333,0.6923076923076923,DecisionTreeClassifier,0.46153846153846156,1,0.09009288382956623,2016-07-29 19:30:40.084046
12,0.6071428571428571,colon,0.02088648101198487,10,False,10,1.0,0.5,RandomForestClassifier,0.3333333333333333,1,0.21802296577526456,2016-07-29 19:30:40.181868
13,0.6738095238095239,colon,0.0949508179910481,10,False,10,0.8571428571428571,0.6904761904761905,AdaBoostClassifier,0.3333333333333333,1,0.16971698463996895,2016-07-29 19:30:40.276989
14,0.85,colon,0.15747435501543805,10,False,10,1.0,0.8333333333333334,DecisionTreeClassifier,0.5,1,0.15723301886761007,2016-07-29 19:30:40.434603
15,0.7583333333333333,leuk,0.09678258502390236,10,False,10,1.0,0.75,RandomForestClassifier,0.3333333333333333,2,0.21828607267484915,2016-07-29 19:30:40.922316
16,0.763095238095238,leuk,0.8718882009852678,10,False,10,1.0,0.8035714285714286,AdaBoostClassifier,0.2857142857142857,2,0.20503857277724746,2016-07-29 19:30:41.794329
17,0.775,leuk,0.6616588839970063,10,False,10,1.0,0.8035714285714286,DecisionTreeClassifier,0.5,2,0.14356965173029843,2016-07-29 19:30:42.456074
18,0.8269963369963371,bladder,0.09815974999219179,10,False,10,1.0,0.8333333333333334,RandomForestClassifier,0.6666666666666666,2,0.10370723502701651,2016-07-29 19:30:42.868602
19,0.8425457875457877,bladder,1.189175157021964,10,False,10,1.0,0.8166666666666667,AdaBoostClassifier,0.75,2,0.08548912420954863,2016-07-29 19:30:44.057929
20,0.8978571428571429,bladder,1.0413748699938878,10,False,10,1.0,0.9166666666666666,DecisionTreeClassifier,0.75,2,0.0766980858423604,2016-07-29 19:30:45.099411
21,0.791740715424926,liver,0.19080963399028406,10,False,10,0.9473684210526315,0.8038277511961722,RandomForestClassifier,0.6363636363636364,2,0.08946478721260334,2016-07-29 19:30:45.743021
22,0.7417065390749601,liver,1.6298389619914815,10,False,10,0.9090909090909091,0.8074162679425837,AdaBoostClassifier,0.3333333333333333,2,0.1757520217545102,2016-07-29 19:30:47.372987
23,0.8261676919571656,liver,2.596523515006993,10,False,10,0.9545454545454546,0.8301435406698565,DecisionTreeClassifier,0.6818181818181818,2,0.07783274599809849,2016-07-29 19:30:49.969580
24,0.6617582417582417,prostate,0.033853328990517184,10,False,10,0.8571428571428571,0.6291208791208791,RandomForestClassifier,0.5,2,0.10881034846005973,2016-07-29 19:30:50.023795
25,0.8127472527472527,prostate,0.06575428298674524,10,False,10,0.9230769230769231,0.8214285714285714,AdaBoostClassifier,0.6923076923076923,2,0.06720145362105363,2016-07-29 19:30:50.089669
26,0.6628571428571428,prostate,0.09291290602413937,10,False,10,0.7857142857142857,0.7032967032967032,DecisionTreeClassifier,0.42857142857142855,2,0.11610995921442474,2016-07-29 19:30:50.182710
27,0.7047619047619048,colon,0.029033583006821573,10,False,10,1.0,0.6666666666666666,RandomForestClassifier,0.5,2,0.17918940687835028,2016-07-29 19:30:50.312264
28,0.7880952380952382,colon,0.18425853000371717,10,False,10,1.0,0.8333333333333334,AdaBoostClassifier,0.16666666666666666,2,0.23436361461386296,2016-07-29 19:30:50.496641
29,0.7714285714285715,colon,0.14216334899538197,10,False,10,1.0,0.7738095238095238,DecisionTreeClassifier,0.5,2,0.1502831794100905,2016-07-29 19:30:50.638930
