,aveaccuracy,cancertype,computationtime,kfolds,kstrat,maxsinglefold,method,minsinglefold,ntrees,std,timestamp
0,0.6232142857142857,leuk,0.052332847990328446,10,False,1.0,RandomForestClassifier,0.14285714285714285,1,0.27426269434650435,2016-07-29 14:42:36.900663
1,0.7928571428571429,leuk,0.43416179399355315,10,False,1.0,AdaBoostClassifier,0.5714285714285714,1,0.11578260769605234,2016-07-29 14:42:37.334848
2,0.8053571428571427,leuk,0.6826796079985797,10,False,1.0,DecisionTreeClassifier,0.42857142857142855,1,0.18218661939262798,2016-07-29 14:42:38.017615
3,0.7980769230769231,bladder,0.0857139439904131,10,False,1.0,RandomForestClassifier,0.5,1,0.17567494525552738,2016-07-29 14:42:38.416498
4,0.9198717948717947,bladder,0.6963764539978001,10,False,1.0,AdaBoostClassifier,0.75,1,0.07321455774735443,2016-07-29 14:42:39.112898
5,0.8448717948717949,bladder,1.1086805800150614,10,False,1.0,DecisionTreeClassifier,0.08333333333333333,1,0.2644694986446386,2016-07-29 14:42:40.221660
6,0.6561904761904762,liver,0.16033160599181429,10,False,0.9,RandomForestClassifier,0.15,1,0.1976683816791301,2016-07-29 14:42:40.771941
7,0.8430952380952379,liver,0.9148374949872959,10,False,1.0,AdaBoostClassifier,0.2,1,0.24007852551342115,2016-07-29 14:42:41.686852
8,0.7811904761904762,liver,2.4827739459869917,10,False,0.9523809523809523,DecisionTreeClassifier,0.4,1,0.15619646475162946,2016-07-29 14:42:44.169609
9,0.726923076923077,prostate,0.023969356989255175,10,False,0.9285714285714286,RandomForestClassifier,0.6428571428571429,1,0.08230945287807344,2016-07-29 14:42:44.213175
10,0.7835164835164836,prostate,0.035295847977977246,10,False,0.9285714285714286,AdaBoostClassifier,0.6428571428571429,1,0.08049778712884587,2016-07-29 14:42:44.248538
11,0.7274725274725274,prostate,0.1178750749968458,10,False,0.8571428571428571,DecisionTreeClassifier,0.6428571428571429,1,0.06801656318876385,2016-07-29 14:42:44.366501
12,0.7714285714285715,colon,0.0188855679880362,10,False,1.0,RandomForestClassifier,0.3333333333333333,1,0.22441660319901294,2016-07-29 14:42:44.474176
13,0.5404761904761906,colon,0.10568585200235248,10,False,1.0,AdaBoostClassifier,0.16666666666666666,1,0.29180997451164997,2016-07-29 14:42:44.579933
14,0.7023809523809523,colon,0.18790797601104714,10,False,1.0,DecisionTreeClassifier,0.3333333333333333,1,0.2781233677880206,2016-07-29 14:42:44.767926
15,0.6571428571428571,leuk,0.06504389102337882,10,False,1.0,RandomForestClassifier,0.14285714285714285,2,0.2130619819753522,2016-07-29 14:42:45.178042
16,0.8160714285714287,leuk,0.7817237690032925,10,False,1.0,AdaBoostClassifier,0.42857142857142855,2,0.18176606685854346,2016-07-29 14:42:45.959788
17,0.8482142857142856,leuk,0.6874152880045585,10,False,1.0,DecisionTreeClassifier,0.625,2,0.13998223283761435,2016-07-29 14:42:46.647286
18,0.8647435897435898,bladder,0.12490538400015794,10,False,1.0,RandomForestClassifier,0.5833333333333334,2,0.13569318225584007,2016-07-29 14:42:47.067096
19,0.8871794871794872,bladder,1.1898153260117397,10,False,1.0,AdaBoostClassifier,0.75,2,0.08412835752063035,2016-07-29 14:42:48.256935
20,0.8282051282051283,bladder,1.0988891550223343,10,False,1.0,DecisionTreeClassifier,0.3333333333333333,2,0.2566793459815523,2016-07-29 14:42:49.355857
21,0.6478571428571428,liver,0.1855344109935686,10,False,1.0,RandomForestClassifier,0.35,2,0.2049872790699434,2016-07-29 14:42:49.919482
22,0.714047619047619,liver,1.5815976910234895,10,False,1.0,AdaBoostClassifier,0.15,2,0.3033532362462004,2016-07-29 14:42:51.501124
23,0.7954761904761904,liver,2.4725280049897265,10,False,0.9523809523809523,DecisionTreeClassifier,0.45,2,0.13587480064841737,2016-07-29 14:42:53.973684
24,0.6818681318681319,prostate,0.0338125919806771,10,False,0.9285714285714286,RandomForestClassifier,0.42857142857142855,2,0.18825317671596978,2016-07-29 14:42:54.021905
25,0.7840659340659342,prostate,0.0768207170185633,10,False,0.8571428571428571,AdaBoostClassifier,0.6428571428571429,2,0.0640787501553427,2016-07-29 14:42:54.098804
26,0.7340659340659341,prostate,0.11819959699641913,10,False,0.8571428571428571,DecisionTreeClassifier,0.6428571428571429,2,0.07080027985865762,2016-07-29 14:42:54.217149
27,0.4976190476190476,colon,0.028189467993797734,10,False,1.0,RandomForestClassifier,0.0,2,0.2730216407659485,2016-07-29 14:42:54.327866
28,0.7023809523809523,colon,0.21252540501882322,10,False,1.0,AdaBoostClassifier,0.16666666666666666,2,0.2679497194516072,2016-07-29 14:42:54.540464
29,0.719047619047619,colon,0.19120879800175317,10,False,1.0,DecisionTreeClassifier,0.3333333333333333,2,0.2375708511098366,2016-07-29 14:42:54.732352
30,0.8446428571428571,leuk,0.13332295999862254,10,False,1.0,RandomForestClassifier,0.2857142857142857,5,0.2067190862311579,2016-07-29 14:42:55.199848
31,0.8446428571428571,leuk,1.7430735050002113,10,False,1.0,AdaBoostClassifier,0.5714285714285714,5,0.14941424746970677,2016-07-29 14:42:56.942942
32,0.7910714285714285,leuk,0.6787815850111656,10,False,1.0,DecisionTreeClassifier,0.5714285714285714,5,0.1312348144762366,2016-07-29 14:42:57.621787
33,0.9012820512820513,bladder,0.1716919989848975,10,False,1.0,RandomForestClassifier,0.5833333333333334,5,0.13351811653282133,2016-07-29 14:42:58.097011
34,0.8179487179487179,bladder,2.820809778990224,10,False,1.0,AdaBoostClassifier,0.0,5,0.3205666621443495,2016-07-29 14:43:00.917845
