,aveaccuracy,computationtime,cancertype,kfolds,maxsinglefold,mean,method,minsinglefold,std,ntrees
0,0.762836438923,0.014123916626,prostate,2,0.797101449275,0.762836438923,bagging,0.728571428571,0.034265010352,2
1,0.726397515528,0.0383908748627,prostate,2,0.757142857143,0.726397515528,bagging,0.695652173913,0.0307453416149,5
2,0.819979296066,0.0602159500122,prostate,2,0.842857142857,0.819979296066,bagging,0.797101449275,0.0228778467909,10
3,0.798240165631,0.116608142853,prostate,2,0.842857142857,0.798240165631,bagging,0.753623188406,0.0446169772257,20
4,0.812836438923,0.336279153824,prostate,2,0.828571428571,0.812836438923,bagging,0.797101449275,0.015734989648,60
5,0.798654244306,0.560302972794,prostate,2,0.811594202899,0.798654244306,bagging,0.785714285714,0.0129399585921,100
6,0.675609004009,0.0260870456696,prostate,3,0.765957446809,0.675609004009,bagging,0.586956521739,0.0730866609148,2
7,0.762873882208,0.0697100162506,prostate,3,0.804347826087,0.762873882208,bagging,0.723404255319,0.033075452903,5
8,0.733734196731,0.114404916763,prostate,3,0.760869565217,0.733734196731,bagging,0.695652173913,0.0277272304536,10
9,0.805735430157,0.223706960678,prostate,3,0.847826086957,0.805735430157,bagging,0.760869565217,0.0355540480903,20
10,0.798489053346,0.684251785278,prostate,3,0.826086956522,0.798489053346,bagging,0.760869565217,0.0275517834372,60
11,0.812827628739,1.13603687286,prostate,3,0.847826086957,0.812827628739,bagging,0.760869565217,0.0374707025758,100
12,0.603831417625,0.0571088790894,prostate,5,0.655172413793,0.603831417625,bagging,0.555555555556,0.0348394587211,2
13,0.767560664112,0.12038397789,prostate,5,0.896551724138,0.767560664112,bagging,0.62962962963,0.0923328368611,5
14,0.790804597701,0.247429847717,prostate,5,0.862068965517,0.790804597701,bagging,0.703703703704,0.0593252814054,10
15,0.755300127714,0.47474193573,prostate,5,0.851851851852,0.755300127714,bagging,0.703703703704,0.0583897095774,20
16,0.791315453384,1.39534902573,prostate,5,0.925925925926,0.791315453384,bagging,0.703703703704,0.0784067786541,60
17,0.762707535121,2.30948591232,prostate,5,0.851851851852,0.762707535121,bagging,0.703703703704,0.0535205143447,100
18,0.719254658385,0.00941705703735,prostate,2,0.742857142857,0.719254658385,dtree,0.695652173913,0,1
19,0.669287696577,0.0194940567017,prostate,3,0.717391304348,0.669287696577,dtree,0.63829787234,0,1
20,0.712388250319,0.0410099029541,prostate,5,0.777777777778,0.712388250319,dtree,0.666666666667,0,1
21,0.661594202899,0.00926089286804,prostate,2,0.7,0.661594202899,randomforest,0.623188405797,0.0384057971014,2
22,0.748550724638,0.0179460048676,prostate,2,0.797101449275,0.748550724638,randomforest,0.7,0.0485507246377,5
23,0.812732919255,0.038290977478,prostate,2,0.842857142857,0.812732919255,randomforest,0.782608695652,0.0301242236025,10
24,0.805383022774,0.0622329711914,prostate,2,0.857142857143,0.805383022774,randomforest,0.753623188406,0.0517598343685,20
25,0.805797101449,0.179813861847,prostate,2,0.811594202899,0.805797101449,randomforest,0.8,0.00579710144928,60
26,0.813043478261,0.297998905182,prostate,2,0.826086956522,0.813043478261,randomforest,0.8,0.0130434782609,100
27,0.734042553191,0.013876914978,prostate,3,0.826086956522,0.734042553191,randomforest,0.673913043478,0.0660966226,2
28,0.72710453284,0.0322439670563,prostate,3,0.782608695652,0.72710453284,randomforest,0.659574468085,0.0509432496438,5
29,0.798643231576,0.057140827179,prostate,3,0.869565217391,0.798643231576,randomforest,0.739130434783,0.0538574372714,10
30,0.834875115634,0.0983669757843,prostate,3,0.934782608696,0.834875115634,randomforest,0.782608695652,0.0706704975499,20
31,0.827474560592,0.282787084579,prostate,3,0.869565217391,0.827474560592,randomforest,0.804347826087,0.0298110694622,60
32,0.856151711378,0.471035003662,prostate,3,0.913043478261,0.856151711378,randomforest,0.804347826087,0.0445204155768,100
33,0.696551724138,0.0236210823059,prostate,5,0.827586206897,0.696551724138,randomforest,0.592592592593,0.090295096823,2
34,0.777011494253,0.0544018745422,prostate,5,0.896551724138,0.777011494253,randomforest,0.655172413793,0.0864486464145,5
35,0.797701149425,0.0892379283905,prostate,5,0.862068965517,0.797701149425,randomforest,0.666666666667,0.0700850431868,10
36,0.790293742018,0.188503980637,prostate,5,0.888888888889,0.790293742018,randomforest,0.666666666667,0.080770952501,20
37,0.812005108557,0.493927955627,prostate,5,0.925925925926,0.812005108557,randomforest,0.703703703704,0.0863610560508,60
38,0.813026819923,0.81803894043,prostate,5,0.925925925926,0.813026819923,randomforest,0.740740740741,0.0629649058425,100
39,0.769358178054,0.0124399662018,prostate,2,0.828571428571,0.769358178054,adaboost,0.710144927536,0.0592132505176,2
40,0.820082815735,0.0322701931,prostate,2,0.828571428571,0.820082815735,adaboost,0.811594202899,0.00848861283644,5
41,0.819979296066,0.0571939945221,prostate,2,0.842857142857,0.819979296066,adaboost,0.797101449275,0.0228778467909,10
42,0.76966873706,0.102751970291,prostate,2,0.785714285714,0.76966873706,adaboost,0.753623188406,0.0160455486542,20
43,0.791614906832,0.314973115921,prostate,2,0.826086956522,0.791614906832,adaboost,0.757142857143,0.0344720496894,60
44,0.784161490683,0.501466989517,prostate,2,0.785714285714,0.784161490683,adaboost,0.782608695652,0.00155279503106,100
45,0.740518038853,0.0206589698792,prostate,3,0.808510638298,0.740518038853,adaboost,0.630434782609,0.0785555859979,2
46,0.812981806969,0.0512459278107,prostate,3,0.826086956522,0.812981806969,adaboost,0.804347826087,0.00942128653559,5
47,0.81991982732,0.0906901359558,prostate,3,0.851063829787,0.81991982732,adaboost,0.782608695652,0.0282848776946,10
48,0.798643231576,0.180948972702,prostate,3,0.804347826087,0.798643231576,adaboost,0.787234042553,0.00806751492566,20
49,0.805889608387,0.529320955276,prostate,3,0.869565217391,0.805889608387,adaboost,0.760869565217,0.046294051474,60
50,0.834412580944,0.882982969284,prostate,3,0.891304347826,0.834412580944,adaboost,0.760869565217,0.0545359587464,100
51,0.702937420179,0.0405809879303,prostate,5,0.827586206897,0.702937420179,adaboost,0.555555555556,0.111714572117,2
52,0.775478927203,0.0913608074188,prostate,5,0.851851851852,0.775478927203,adaboost,0.62962962963,0.0821485483924,5
53,0.792848020434,0.167953014374,prostate,5,0.888888888889,0.792848020434,adaboost,0.724137931034,0.0652886754194,10
54,0.762196679438,0.334550142288,prostate,5,0.814814814815,0.762196679438,adaboost,0.62962962963,0.0693965058182,20
55,0.777522349936,0.981673002243,prostate,5,0.851851851852,0.777522349936,adaboost,0.740740740741,0.0389676080769,60
56,0.783908045977,1.66017317772,prostate,5,0.814814814815,0.783908045977,adaboost,0.740740740741,0.0245981122708,100
57,0.612903225806,0.0254778862,colon,2,0.774193548387,0.612903225806,bagging,0.451612903226,0.161290322581,2
58,0.532258064516,0.0688891410828,colon,2,0.645161290323,0.532258064516,bagging,0.41935483871,0.112903225806,5
59,0.58064516129,0.0896859169006,colon,2,0.774193548387,0.58064516129,bagging,0.387096774194,0.193548387097,10
60,0.58064516129,0.179600954056,colon,2,0.774193548387,0.58064516129,bagging,0.387096774194,0.193548387097,20
61,0.564516129032,0.536822080612,colon,2,0.709677419355,0.564516129032,bagging,0.41935483871,0.145161290323,60
62,0.532258064516,0.840651035309,colon,2,0.709677419355,0.532258064516,bagging,0.354838709677,0.177419354839,100
