,aveaccuracy,cancertype,computationtime,fold0,fold1,fold2,fold3,fold4,maxsinglefold,minsinglefold,ntrees,std,timestamp,method
0,0.7523809523809524,leuk,6.079588013999455,0.4666666666666667,0.8666666666666667,1,0.8571428571428571,0.5714285714285714,1,0.4666666666666667,1,0.19986389926970935,2016-07-26 00:16:29.362966,homebrewRF
1,0.7980952380952382,leuk,13.130983959999867,0.5333333333333333,0.8,0.8,0.8571428571428571,1,1,0.5333333333333333,2,0.15123377707641303,2016-07-26 00:16:42.492226,homebrewRF
2,0.8114285714285716,leuk,32.87406098499923,0.5333333333333333,0.8666666666666667,0.8,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.5333333333333333,5,0.14694469627779133,2016-07-26 00:17:15.361120,homebrewRF
3,0.8647619047619047,leuk,69.70769352799834,0.6,0.8666666666666667,1,1,0.8571428571428571,1,0.6,10,0.14610902027249606,2016-07-26 00:18:25.058075,homebrewRF
4,0.8647619047619048,leuk,130.45512543599762,0.6,0.8666666666666667,1,0.8571428571428571,1,1,0.6,20,0.1461090202724961,2016-07-26 00:20:35.493193,homebrewRF
5,0.8800000000000001,leuk,410.8750953120034,0.4666666666666667,0.9333333333333333,1,1,1,1,0.4666666666666667,60,0.2082733246908441,2016-07-26 00:27:26.306459,homebrewRF
6,0.8666666666666668,leuk,713.8779139969993,0.6,0.8666666666666667,0.8666666666666667,1,1,1,0.6,100,0.14605934866804432,2016-07-26 00:39:20.299860,homebrewRF
7,0.9046153846153846,bladder,8.132654818000447,0.9230769230769231,0.92,0.88,0.84,0.96,0.96,0.84,1,0.041051274043465646,2016-07-26 00:39:28.817026,homebrewRF
8,0.8889230769230767,bladder,16.381486635997135,0.8846153846153846,0.84,0.84,0.92,0.96,0.96,0.84,2,0.04652568165276506,2016-07-26 00:39:45.198211,homebrewRF
9,0.9606153846153846,bladder,38.3879582810041,0.9230769230769231,1,0.92,1,0.96,1,0.92,5,0.03510390325403484,2016-07-26 00:40:23.585235,homebrewRF
10,0.944923076923077,bladder,77.32531637699867,0.8846153846153846,0.96,0.92,1,0.96,1,0.8846153846153846,10,0.03936056958263971,2016-07-26 00:41:40.908601,homebrewRF
11,0.984,bladder,156.70472592100123,1,0.96,0.96,1,1,1,0.96,20,0.019595917942265444,2016-07-26 00:44:17.609204,homebrewRF
12,0.992,bladder,455.2089102009995,1,1,0.96,1,1,1,0.96,60,0.016000000000000014,2016-07-26 00:51:52.805904,homebrewRF
13,0.992,bladder,772.9736981850001,1,1,0.96,1,1,1,0.96,100,0.016000000000000014,2016-07-26 01:04:45.758380,homebrewRF
14,0.7099883855981417,liver,22.331068596999103,0.6904761904761905,0.7619047619047619,0.6341463414634146,0.7804878048780488,0.6829268292682927,0.7804878048780488,0.6341463414634146,1,0.05390834350194652,2016-07-26 01:05:08.646668,homebrewRF
15,0.7440185830429732,liver,40.38184476499737,0.6904761904761905,0.7857142857142857,0.7073170731707317,0.7560975609756098,0.7804878048780488,0.7857142857142857,0.6904761904761905,2,0.03854406854260532,2016-07-26 01:05:49.027569,homebrewRF
16,0.8646922183507548,liver,100.93120961100067,0.9285714285714286,0.8095238095238095,0.8048780487804879,0.9024390243902439,0.8780487804878049,0.9285714285714286,0.8048780487804879,5,0.04960858964050147,2016-07-26 01:07:29.956128,homebrewRF
17,0.8984901277584203,liver,207.32123527300428,0.8809523809523809,0.9285714285714286,0.8292682926829268,0.9024390243902439,0.9512195121951219,0.9512195121951219,0.8292682926829268,10,0.04195259572550085,2016-07-26 01:10:57.271769,homebrewRF
18,0.8839721254355399,liver,429.513003484004,0.8809523809523809,0.9047619047619048,0.8048780487804879,0.9024390243902439,0.926829268292683,0.926829268292683,0.8048780487804879,20,0.04213067242278144,2016-07-26 01:18:06.773047,homebrewRF
19,0.907897793263647,liver,1290.7121080980069,0.9285714285714286,0.9523809523809523,0.8292682926829268,0.9024390243902439,0.926829268292683,0.9523809523809523,0.8292682926829268,60,0.042372037732109104,2016-07-26 01:39:37.453234,homebrewRF
20,0.907897793263647,liver,2062.6300156700017,0.9285714285714286,0.9523809523809523,0.8292682926829268,0.9024390243902439,0.926829268292683,0.9523809523809523,0.8292682926829268,100,0.042372037732109104,2016-07-26 02:14:00.032931,homebrewRF
21,0.7920634920634921,prostate,3.111423674999969,0.7142857142857143,0.6428571428571429,0.8214285714285714,0.8928571428571429,0.8888888888888888,0.8928571428571429,0.6428571428571429,1,0.09870029661187628,2016-07-26 02:14:03.395775,homebrewRF
22,0.7841269841269842,prostate,6.330722282000352,0.6785714285714286,0.9642857142857143,0.8214285714285714,0.6785714285714286,0.7777777777777778,0.9642857142857143,0.6785714285714286,2,0.10599324460188284,2016-07-26 02:14:09.726506,homebrewRF
23,0.8851851851851851,prostate,13.840016300993739,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.9259259259259259,0.9285714285714286,0.7857142857142857,5,0.0567545102877794,2016-07-26 02:14:23.566282,homebrewRF
24,0.834126984126984,prostate,31.9888876240002,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.8214285714285714,0.7777777777777778,0.9285714285714286,0.7777777777777778,10,0.055008645876709394,2016-07-26 02:14:55.554588,homebrewRF
